digit_count,Year,month,mean_monthly_temp,mean_monthly_rainfall,littoral_mean_monthly_ndvi,littoral_vegetation_area,mean_monthly_ndbi,Bare_soil_area,mean_monthly_ndwi,water_area,hyacinth_mean_monthly_ndvi,hyacinth_area
0,1984,1,0,1.3,0,0,0,0,0,0,0,0
1,1984,2,0,0.97,0,0,0,0,0,0,0,0
2,1984,3,0,1.68,0,0,0,0,0,0,0,0
3,1984,4,-1,6.83,0.11,13.8411,-0.09,2.7639,0,0,0,0
4,1984,5,27,2.62,0.31,197.586,-0.12,18.2853,0,0,0,0
5,1984,6,14,3.04,0.25,1003.9113,-0.1,37.098,0,0.0162,0.01,5.4918
6,1984,7,27,3.63,0.29,199.8747,-0.11,22.4226,0,0,0,0
7,1984,8,23,4.55,0.21,701.235,-0.06,156.9168,0,0,0.01,1.6434
8,1984,9,29,2.48,0.22,853.0452,-0.04,302.9211,0.02,0,0,5.058
9,1984,10,32,3.05,0.23,904.5648,-0.04,352.5804,0.02,0.3024,0,3.204
10,1984,11,15,5.47,0.21,957.3354,-0.07,135.3717,0.01,0.2889,0.01,1.5606
11,1984,12,27,2.3,0.3,124.0335,-0.1,7.839,0,0,0,0
12,1985,1,35,2.41,0.2,959.9832,-0.01,488.853,0.04,0,-0.02,4.3632
13,1985,2,0,2.27,0,0,0,0,0,0,0,0
14,1985,3,29,6.16,0.18,895.4478,0,543.3633,0.02,0.0072,-0.01,2.2734
15,1985,4,11,9.37,0.24,150.9129,-0.11,1.3257,0,0,0,0
16,1985,5,0,6.67,0,0,0,0,0,0,0,0
17,1985,6,0,3.08,0,0,0,0,0,0,0,0
18,1985,7,0,3.91,0,0,0,0,0,0,0,0
19,1985,8,0,3.55,0,0,0,0,0,0,0,0
20,1985,9,0,3.32,0,0,0,0,0,0,0,0
21,1985,10,0,2.4,0,0,0,0,0,0,0,0
22,1985,11,0,4.22,0,0,0,0,0,0,0,0
23,1985,12,0,1.87,0,0,0,0,0,0,0,0
24,1986,1,32,1.44,0.2,962.3133,-0.01,462.4065,0.05,0,-0.02,2.9295
25,1986,2,29,2.36,0.17,846.1071,0.02,658.4292,0.02,0,-0.01,6.8301
26,1986,3,31,5.7,0.19,883.1547,-0.01,446.4576,0.04,0,-0.02,6.7032
27,1986,4,0,9.83,0,0,0,0,0,0,0,0
28,1986,5,16,5.32,0.28,230.3235,-0.13,5.1156,0,0,0,0
29,1986,6,0,2.6,0,0,0,0,0,0,0,0
30,1986,7,14,2.49,0.17,704.4228,-0.06,195.1029,0,0.0675,0,1.8351
31,1986,8,30,1.58,0.21,998.8371,-0.03,364.4874,0.04,0,-0.02,5.6502
32,1986,9,0,3.01,0,0,0,0,0,0,0,0
33,1986,10,32,4.6,0.22,988.848,-0.03,383.3397,0.03,0.0009,-0.01,4.8996
34,1986,11,19,3.74,0.23,218.7495,-0.07,39.9888,0,0,0,0
35,1986,12,23,3.44,0.24,932.4963,-0.08,80.9703,0.03,0,-0.01,5.7528
36,1987,1,21,2.1,0.18,864.6714,-0.05,181.9503,0.03,0,-0.01,5.0427
37,1987,2,-14,4.06,0.02,199.0179,-0.04,363.7458,0.01,9.4032,-0.02,3.7629
38,1987,3,0,5.85,0,0,0,0,0,0,0,0
39,1987,4,0,4.98,0,0,0,0,0,0,0,0
40,1987,5,0,6.57,0,0,0,0,0,0,0,0
41,1987,6,28,4.51,0.34,169.0452,-0.15,2.1861,0,0,0,0
42,1987,7,6,1.78,0.23,986.7024,-0.1,8.7957,-0.02,0,0.03,3.9078
43,1987,8,24,2.35,0.27,136.2672,-0.08,21.348,0,0,0,0
44,1987,9,0,3.23,0,0,0,0,0,0,0,0
45,1987,10,0,4.59,0,0,0,0,0,0,0,0
46,1987,11,0,5.31,0,0,0,0,0,0,0,0
47,1987,12,0,1.41,0,0,0,0,0,0,0,0
48,1988,1,0,3.92,0,0,0,0,0,0,0,0
49,1988,2,35,2.15,0.22,857.9403,-0.03,327.8115,0.04,0.0261,-0.03,4.0536
50,1988,3,0,5.76,0,0,0,0,0,0,0,0
51,1988,4,0,11.01,0,0,0,0,0,0,0,0
52,1988,5,0,4.47,0,0,0,0,0,0,0,0
53,1988,6,0,2.7,0,0,0,0,0,0,0,0
54,1988,7,0,3.86,0,0,0,0,0,0,0,0
55,1988,8,0,4.35,0,0,0,0,0,0,0,0
56,1988,9,0,4.83,0,0,0,0,0,0,0,0
57,1988,10,0,3.27,0,0,0,0,0,0,0,0
58,1988,11,0,5.14,0,0,0,0,0,0,0,0
59,1988,12,0,2.17,0,0,0,0,0,0,0,0
60,1989,1,0,1.69,0,0,0,0,0,0,0,0
61,1989,2,0,4.03,0,0,0,0,0,0,0,0
62,1989,3,25,5.74,0.23,203.7141,-0.04,50.7807,0,0,0,0
63,1989,4,0,5.33,0,0,0,0,0,0,0,0
64,1989,5,0,6.08,0,0,0,0,0,0,0,0
65,1989,6,0,2.47,0,0,0,0,0,0,0,0
66,1989,7,0,1.61,0,0,0,0,0,0,0,0
67,1989,8,0,3.47,0,0,0,0,0,0,0,0
68,1989,9,0,3.78,0,0,0,0,0,0,0,0
69,1989,10,0,4.32,0,0,0,0,0,0,0,0
70,1989,11,21,4.19,0.22,180.135,-0.08,33.219,0,0,0,0
71,1989,12,0,4.58,0,0,0,0,0,0,0,0
72,1990,1,0,1.99,0,0,0,0,0,0,0,0
73,1990,2,16,5.98,0.2,984.6963,-0.06,101.1285,0.02,0.0027,0,5.6349
74,1990,3,0,7.33,0,0,0,0,0,0,0,0
75,1990,4,0,7.83,0,0,0,0,0,0,0,0
76,1990,5,0,4.47,0,0,0,0,0,0,0,0
77,1990,6,0,1.51,0,0,0,0,0,0,0,0
78,1990,7,0,2.08,0,0,0,0,0,0,0,0
79,1990,8,0,3.48,0,0,0,0,0,0,0,0
80,1990,9,0,2.78,0,0,0,0,0,0,0,0
81,1990,10,0,3.11,0,0,0,0,0,0,0,0
82,1990,11,0,2.76,0,0,0,0,0,0,0,0
83,1990,12,0,3.07,0,0,0,0,0,0,0,0
84,1991,1,0,3.3,0,0,0,0,0,0,0,0
85,1991,2,0,1.94,0,0,0,0,0,0,0,0
86,1991,3,-9,4.9,0.15,111.7314,-0.06,10.3887,0,0,0,0
87,1991,4,-22,7.06,0.17,884.6001,-0.1,10.4976,0,0,0.01,4.9941
88,1991,5,0,7.99,0,0,0,0,0,0,0,0
89,1991,6,0,3.6,0,0,0,0,0,0,0,0
90,1991,7,0,1.61,0,0,0,0,0,0,0,0
91,1991,8,0,2.4,0,0,0,0,0,0,0,0
92,1991,9,0,3.46,0,0,0,0,0,0,0,0
93,1991,10,0,5.55,0,0,0,0,0,0,0,0
94,1991,11,0,2.75,0,0,0,0,0,0,0,0
95,1991,12,0,1.86,0,0,0,0,0,0,0,0
96,1992,1,0,0.72,0,0,0,0,0,0,0,0
97,1992,2,0,2.7,0,0,0,0,0,0,0,0
98,1992,3,0,2.04,0,0,0,0,0,0,0,0
99,1992,4,0,6.45,0,0,0,0,0,0,0,0
100,1992,5,0,5.61,0,0,0,0,0,0,0,0
101,1992,6,16,6.17,0.26,237.7494,-0.12,2.1069,0,0,0,0
102,1992,7,0,2.42,0,0,0,0,0,0,0,0
103,1992,8,0,3.67,0,0,0,0,0,0,0,0
104,1992,9,0,3.94,0,0,0,0,0,0,0,0
105,1992,10,0,4.57,0,0,0,0,0,0,0,0
106,1992,11,23,3.37,0.34,31.7133,-0.16,0.0369,0,0,0,0
107,1992,12,0,3.22,0,0,0,0,0,0,0,0
108,1993,1,0,3.9,0,0,0,0,0,0,0,0
109,1993,2,0,3.01,0,0,0,0,0,0,0,0
110,1993,3,0,3.5,0,0,0,0,0,0,0,0
111,1993,4,0,5.02,0,0,0,0,0,0,0,0
112,1993,5,0,8.02,0,0,0,0,0,0,0,0
113,1993,6,0,4.92,0,0,0,0,0,0,0,0
114,1993,7,0,0.98,0,0,0,0,0,0,0,0
115,1993,8,0,2.9,0,0,0,0,0,0,0,0
116,1993,9,0,2.27,0,0,0,0,0,0,0,0
117,1993,10,0,2.27,0,0,0,0,0,0,0,0
118,1993,11,0,2.53,0,0,0,0,0,0,0,0
119,1993,12,0,2.57,0,0,0,0,0,0,0,0
120,1994,1,0,1,0,0,0,0,0,0,0,0
121,1994,2,0,1.64,0,0,0,0,0,0,0,0
122,1994,3,0,8.23,0,0,0,0,0,0,0,0
123,1994,4,0,6.08,0,0,0,0,0,0,0,0
124,1994,5,0,7.86,0,0,0,0,0,0,0,0
125,1994,6,0,3,0,0,0,0,0,0,0,0
126,1994,7,0,3.49,0,0,0,0,0,0,0,0
127,1994,8,0,2.87,0,0,0,0,0,0,0,0
128,1994,9,7,2.41,0.2,816.5952,-0.07,128.9295,0.02,0.0018,0,1.4544
129,1994,10,27,2.67,0.22,972.5886,-0.04,327.1077,0.05,0.0495,-0.03,4.9275
130,1994,11,27,9.37,0.29,960.0651,-0.11,34.9641,0.04,0,-0.02,6.5088
131,1994,12,25,2.11,0.35,23.7312,-0.16,0.0594,0,0,0,0
132,1995,1,2,1.6,0.13,614.6766,-0.05,223.5852,-0.01,0.0333,-0.03,0.5463
133,1995,2,20,3.49,0.18,929.8782,-0.03,337.7898,0.03,0.0009,-0.02,4.2534
134,1995,3,0,5.32,0.25,149.2857,-0.11,6.8625,0,0,0,0
135,1995,4,30,7.98,0.26,1000.1574,-0.06,233.0163,0.04,0.0423,-0.02,5.4828
136,1995,5,22,5.15,0.31,959.2083,-0.13,16.7769,0.02,0,0,6.2658
137,1995,6,0,3.85,0,0,0,0,0,0,0,0
138,1995,7,0,3.32,0,0,0,0,0,0,0,0
139,1995,8,0,1.77,0,0,0,0,0,0,0,0
140,1995,9,0,4.01,0,0,0,0,0,0,0,0
141,1995,10,0,5.11,0,0,0,0,0,0,0,0
